country,continent,year,lifeExp,pop,gdpPercap,
Afghanistan,Asia,2020,41.5800018,38972230,5.8231,
Albania,Europe,2020,59.4799995,2837849,71.36869,
Argentina,Americas,2020,56.0200005,45376763,125.9945,
Armenia,,2020,66.4800034,2805608,60.71513,
Australia,Oceania,2020,65.0299988,25655289,133.1579,
Austria,Europe,2020,60.8100014,8916864,96.91481,
Azerbaijan,,2020,66.8000031,10093121,38.48449,
Belarus,,2020,70.3000031,9379952,92.33138,
Belgium,Europe,2020,53.8199997,11538604,93.15635,
Bhutan,,2020,67.8300018,772506,17.03242,
Bosnia and Herzegovina,Europe,2020,47.6500015,3318407,46.17034,
Botswana,Africa,2020,66.2900009,2546402,31.94718,
Brazil,Americas,2020,60.2900009,213196304,64.55419,
Brunei Darussalam,,2020,65.2200012,441725,39.36457,
Bulgaria,Europe,2020,55.5499992,6934015,84.28183,
Burundi,Africa,2020,78.5599976,12220227,4.10689,
Canada,Americas,2020,64.0199966,38037204,90.9768,
Central Europe and the Baltics,,2020,56.6895957,102180124,75.86321,
Chile,Americas,2020,56.3600006,19300315,99.47923,
Colombia,Americas,2020,62.7000008,50930662,58.58776,
"Congo, Dem. Rep.",Africa,2020,63.4399986,92853164,5.23194,
Croatia,Europe,2020,51.0299988,4047680,79.96888,
Cyprus,,2020,62.8100014,1237537,98.12272,
Czechia,,2020,59.7900009,10697858,79.42752,
Denmark,Europe,2020,62.0200005,5831404,96.84692,
Ecuador,Americas,2020,60.0900002,17588595,57.32951,
Euro area,,2020,56.3377033,342913447,86.03448,
Europe & Central Asia,,2020,57.548418,923103879,82.34962,
Europe & Central Asia (excluding high income),,2020,58.1490094,400811771,80.51635,
Europe & Central Asia (IDA & IBRD),,2020,57.7546935,#N/A,80.03591,
European Union,,2020,56.7480634,447692315,83.9873,
Finland,Europe,2020,59.0299988,5529543,105.0807,
France,Europe,2020,54.5299988,67571107,78.0489197,
Georgia,,2020,63.4000015,3722716,71.9696274,
Germany,Europe,2020,60.6500015,83160871,75.0848618,
Greece,Europe,2020,50.4900017,10698599,152.402817,
High income,,2020,60.2070496,1.241E+09,89.2874069,
"Hong Kong SAR, China",,2020,59.7099991,7481000,89.4546738,
Hungary,Europe,2020,56.9000015,9750149,61.1175995,
Iceland,Europe,2020,78.9800034,366463,112.414719,
"Iran, Islamic Rep.",,2020,40.9500008,87290193,57.1822395,
Ireland,Europe,2020,61.1199989,4985382,80.755928,
Israel,Asia,2020,61.7900009,9215100,72.9519577,
Italy,Europe,2020,48.5099983,59438851,80.592308,
Jordan,Asia,2020,39.9500008,10928721,36.9074516,
Kazakhstan,,2020,69.1999969,18755666,77.5781174,
"Korea, Rep.",Asia,2020,62.8100014,51836239,92.7929001,
,,2020,,,,
Kyrgyz Republic,,2020,64.7399979,6579900,51.7292786,
Latin America & Caribbean,,2020,59.5018069,650534967,62.4820213,
Latin America & Caribbean (excluding high income),,2020,59.8780182,588808380,59.3016396,
Latin America & Caribbean (IDA & IBRD),,2020,59.5026812,#N/A,62.3539314,
Latvia,,2020,61.6699982,1900449,109.43718,
Lithuania,,2020,62.6100006,2794885,84.0328598,
Luxembourg,,2020,60.7999992,630419,20.9648209,
,,2020,,,,
Malaysia,Asia,2020,68.4400024,33199993,48.4375267,
,,2020,,,,
Malta,,2020,62.2700005,515332,83.9667282,
Mauritius,Africa,2020,71.5199966,1265740,52.6055412,
Mexico,Americas,2020,55.4900017,125998302,46.5969086,
Moldova,,2020,69.6800003,2635130,67.4673309,
Mongolia,Asia,2020,60.8800011,3294335,81.8088226,
Montenegro,Europe,2020,53.3499985,621306,64.3696136,
,,2020,,,,
Netherlands,Europe,2020,64.5500031,17441500,99.1255798,
,,2020,,,,
New Zealand,Oceania,2020,70.2399979,5090200,97.2927933,
North America,,2020,61.9904303,369602177,101.815971,
North Macedonia,,2020,54.4500008,2072531,50.5636597,
Norway,Europe,2020,63.8300018,5379475,101.770622,
OECD members,,2020,59.0963059,1.37E+09,85.3998795,
Oman,Asia,2020,70.1800003,4543399,57.3821907,
Panama,Americas,2020,62.9799995,4294396,54.0556183,
,,2020,,,,
,,2020,,,,
Philippines,Asia,2020,54.75,112190977,37.7478752,
Poland,Europe,2020,56.0900002,37899070,84.3574982,
Portugal,Europe,2020,58,10297081,76.0644226,
PST,,2020,60.0377922,#N/A,90.507843,
Qatar,,2020,87.9800034,2760385,58.7689018,
Romania,Europe,2020,55.0600014,19265250,60.1828499,
,,2020,,,,
Rwanda,Africa,2020,62.6599998,13146362,6.47335005,
San Marino,,2020,98.4400024,34007,47.4495811,
Saudi Arabia,Asia,2020,59.5200005,35997107,73.5569916,
Serbia,Europe,2020,53.9599991,6899126,79.9445801,
Seychelles,,2020,65.9199982,98462,20.9908695,
Singapore,Asia,2020,68.0599976,5685807,98.27005,
Slovak Republic,Europe,2020,59.0400009,5458827,57.2184105,
Slovenia,Europe,2020,57.7900009,2102419,95.0072403,
South Africa,Africa,2020,54.7000008,58801927,29.6036091,
Spain,Europe,2020,56.7099991,47365655,106.386719,
St. Lucia,,2020,66.4800034,179237,22.0086002,
Sweden,Europe,2020,73.2900009,10353442,104.976173,
Switzerland,Europe,2020,67.8700027,8638167,67.2176971,
Tanzania,Africa,2020,80.3899994,61704518,7.12772989,
Thailand,Asia,2020,67.0199966,71475664,49.7804718,
,,2020,,,,
Turkiye,,2020,49.2999992,84135428,115.364487,
,,2020,,,,
United Arab Emirates,,2020,80.3499985,9287289,66.3454285,
United States,Americas,2020,61.75,331501080,102.956741,
,,2020,,,,
Uzbekistan,,2020,56.2200012,34232050,14.9168196,
,,2020,,,,
,,2020,,,,
West Bank and Gaza,Asia,2020,40.9399986,4803269,53.8179512,
